[2024-05-10T06:26:39.304+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-10T06:26:39.434+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-05-10T06:26:39.451+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-05-10T06:26:39.487+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-05-10T06:26:39.503+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): Lectura_Datos_NASA> on 2024-03-30 00:00:00+00:00
[2024-05-10T06:26:39.512+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2299) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-10T06:26:39.513+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'Proyecto_SpaceX_v1', 'Lectura_Datos_NASA', 'scheduled__2024-03-30T00:00:00+00:00', '--job-id', '1331', '--raw', '--subdir', 'DAGS_FOLDER/Proyecto_SpaceX_v1.py', '--cfg-path', '/tmp/tmph_ngd0e_']
[2024-05-10T06:26:39.520+0000] {standard_task_runner.py:63} INFO - Started process 2301 to run task
[2024-05-10T06:26:39.521+0000] {standard_task_runner.py:91} INFO - Job 1331: Subtask Lectura_Datos_NASA
[2024-05-10T06:26:39.582+0000] {task_command.py:426} INFO - Running <TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-03-30T00:00:00+00:00 [running]> on host 1b7f0b10dd99
[2024-05-10T06:26:39.678+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Proyecto_SpaceX_v1' AIRFLOW_CTX_TASK_ID='Lectura_Datos_NASA' AIRFLOW_CTX_EXECUTION_DATE='2024-03-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-30T00:00:00+00:00'
[2024-05-10T06:26:39.692+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-10T06:26:39.744+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-05-10T06:26:39.753+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'ls /tmp && head /tmp/response_20240330.txt']
[2024-05-10T06:26:39.773+0000] {subprocess.py:86} INFO - Output:
[2024-05-10T06:26:39.775+0000] {subprocess.py:93} INFO - ***tmp6y4a6194
[2024-05-10T06:26:39.776+0000] {subprocess.py:93} INFO - history.json
[2024-05-10T06:26:39.776+0000] {subprocess.py:93} INFO - platzi_data_20231125.csv
[2024-05-10T06:26:39.777+0000] {subprocess.py:93} INFO - platzi_data_20231126.csv
[2024-05-10T06:26:39.777+0000] {subprocess.py:93} INFO - platzi_data_20231127.csv
[2024-05-10T06:26:39.778+0000] {subprocess.py:93} INFO - platzi_data_20240101.csv
[2024-05-10T06:26:39.778+0000] {subprocess.py:93} INFO - platzi_data_20240201.csv
[2024-05-10T06:26:39.779+0000] {subprocess.py:93} INFO - platzi_data_20240301.csv
[2024-05-10T06:26:39.779+0000] {subprocess.py:93} INFO - platzi_data_20240302.csv
[2024-05-10T06:26:39.780+0000] {subprocess.py:93} INFO - platzi_data_20240303.csv
[2024-05-10T06:26:39.781+0000] {subprocess.py:93} INFO - platzi_data_20240304.csv
[2024-05-10T06:26:39.781+0000] {subprocess.py:93} INFO - platzi_data_20240305.csv
[2024-05-10T06:26:39.782+0000] {subprocess.py:93} INFO - platzi_data_20240306.csv
[2024-05-10T06:26:39.782+0000] {subprocess.py:93} INFO - platzi_data_20240307.csv
[2024-05-10T06:26:39.783+0000] {subprocess.py:93} INFO - platzi_data_20240308.csv
[2024-05-10T06:26:39.783+0000] {subprocess.py:93} INFO - platzi_data_20240309.csv
[2024-05-10T06:26:39.784+0000] {subprocess.py:93} INFO - platzi_data_20240310.csv
[2024-05-10T06:26:39.785+0000] {subprocess.py:93} INFO - platzi_data_20240311.csv
[2024-05-10T06:26:39.785+0000] {subprocess.py:93} INFO - platzi_data_20240312.csv
[2024-05-10T06:26:39.786+0000] {subprocess.py:93} INFO - platzi_data_20240313.csv
[2024-05-10T06:26:39.786+0000] {subprocess.py:93} INFO - platzi_data_20240314.csv
[2024-05-10T06:26:39.787+0000] {subprocess.py:93} INFO - platzi_data_20240316.csv
[2024-05-10T06:26:39.787+0000] {subprocess.py:93} INFO - platzi_data_20240317.csv
[2024-05-10T06:26:39.788+0000] {subprocess.py:93} INFO - platzi_data_20240318.csv
[2024-05-10T06:26:39.789+0000] {subprocess.py:93} INFO - platzi_data_20240319.csv
[2024-05-10T06:26:39.789+0000] {subprocess.py:93} INFO - platzi_data_20240320.csv
[2024-05-10T06:26:39.790+0000] {subprocess.py:93} INFO - platzi_data_20240321.csv
[2024-05-10T06:26:39.790+0000] {subprocess.py:93} INFO - platzi_data_20240322.csv
[2024-05-10T06:26:39.791+0000] {subprocess.py:93} INFO - platzi_data_20240323.csv
[2024-05-10T06:26:39.791+0000] {subprocess.py:93} INFO - platzi_data_20240324.csv
[2024-05-10T06:26:39.792+0000] {subprocess.py:93} INFO - platzi_data_20240325.csv
[2024-05-10T06:26:39.793+0000] {subprocess.py:93} INFO - platzi_data_20240326.csv
