[2024-05-10T06:27:48.550+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-10T06:27:48.687+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-05-10T06:27:48.694+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-05-10T06:27:48.696+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-05-10T06:27:48.710+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): Lectura_Datos_NASA> on 2024-04-01 00:00:00+00:00
[2024-05-10T06:27:48.717+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2373) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-10T06:27:48.719+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'Proyecto_SpaceX_v1', 'Lectura_Datos_NASA', 'scheduled__2024-04-01T00:00:00+00:00', '--job-id', '1345', '--raw', '--subdir', 'DAGS_FOLDER/Proyecto_SpaceX_v1.py', '--cfg-path', '/tmp/tmp5282jsc1']
[2024-05-10T06:27:48.722+0000] {standard_task_runner.py:63} INFO - Started process 2383 to run task
[2024-05-10T06:27:48.722+0000] {standard_task_runner.py:91} INFO - Job 1345: Subtask Lectura_Datos_NASA
[2024-05-10T06:27:48.767+0000] {task_command.py:426} INFO - Running <TaskInstance: Proyecto_SpaceX_v1.Lectura_Datos_NASA scheduled__2024-04-01T00:00:00+00:00 [running]> on host 1b7f0b10dd99
[2024-05-10T06:27:48.849+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Proyecto_SpaceX_v1' AIRFLOW_CTX_TASK_ID='Lectura_Datos_NASA' AIRFLOW_CTX_EXECUTION_DATE='2024-04-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-01T00:00:00+00:00'
[2024-05-10T06:27:48.850+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-10T06:27:48.859+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-05-10T06:27:48.861+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'ls /tmp && head /tmp/response_20240401.txt']
[2024-05-10T06:27:48.870+0000] {subprocess.py:86} INFO - Output:
[2024-05-10T06:27:48.872+0000] {subprocess.py:93} INFO - ***tmp2jnha9m0
[2024-05-10T06:27:48.872+0000] {subprocess.py:93} INFO - history.json
[2024-05-10T06:27:48.873+0000] {subprocess.py:93} INFO - platzi_data_20231125.csv
[2024-05-10T06:27:48.873+0000] {subprocess.py:93} INFO - platzi_data_20231126.csv
[2024-05-10T06:27:48.874+0000] {subprocess.py:93} INFO - platzi_data_20231127.csv
[2024-05-10T06:27:48.874+0000] {subprocess.py:93} INFO - platzi_data_20240101.csv
[2024-05-10T06:27:48.875+0000] {subprocess.py:93} INFO - platzi_data_20240201.csv
[2024-05-10T06:27:48.876+0000] {subprocess.py:93} INFO - platzi_data_20240301.csv
[2024-05-10T06:27:48.876+0000] {subprocess.py:93} INFO - platzi_data_20240302.csv
[2024-05-10T06:27:48.877+0000] {subprocess.py:93} INFO - platzi_data_20240303.csv
[2024-05-10T06:27:48.877+0000] {subprocess.py:93} INFO - platzi_data_20240304.csv
[2024-05-10T06:27:48.878+0000] {subprocess.py:93} INFO - platzi_data_20240305.csv
[2024-05-10T06:27:48.878+0000] {subprocess.py:93} INFO - platzi_data_20240306.csv
[2024-05-10T06:27:48.879+0000] {subprocess.py:93} INFO - platzi_data_20240307.csv
[2024-05-10T06:27:48.879+0000] {subprocess.py:93} INFO - platzi_data_20240308.csv
[2024-05-10T06:27:48.880+0000] {subprocess.py:93} INFO - platzi_data_20240309.csv
[2024-05-10T06:27:48.880+0000] {subprocess.py:93} INFO - platzi_data_20240310.csv
[2024-05-10T06:27:48.881+0000] {subprocess.py:93} INFO - platzi_data_20240311.csv
[2024-05-10T06:27:48.881+0000] {subprocess.py:93} INFO - platzi_data_20240312.csv
[2024-05-10T06:27:48.882+0000] {subprocess.py:93} INFO - platzi_data_20240313.csv
[2024-05-10T06:27:48.882+0000] {subprocess.py:93} INFO - platzi_data_20240314.csv
[2024-05-10T06:27:48.883+0000] {subprocess.py:93} INFO - platzi_data_20240316.csv
[2024-05-10T06:27:48.883+0000] {subprocess.py:93} INFO - platzi_data_20240317.csv
[2024-05-10T06:27:48.884+0000] {subprocess.py:93} INFO - platzi_data_20240318.csv
[2024-05-10T06:27:48.884+0000] {subprocess.py:93} INFO - platzi_data_20240319.csv
[2024-05-10T06:27:48.885+0000] {subprocess.py:93} INFO - platzi_data_20240320.csv
[2024-05-10T06:27:48.885+0000] {subprocess.py:93} INFO - platzi_data_20240321.csv
[2024-05-10T06:27:48.886+0000] {subprocess.py:93} INFO - platzi_data_20240322.csv
[2024-05-10T06:27:48.887+0000] {subprocess.py:93} INFO - platzi_data_20240323.csv
[2024-05-10T06:27:48.887+0000] {subprocess.py:93} INFO - platzi_data_20240324.csv
[2024-05-10T06:27:48.888+0000] {subprocess.py:93} INFO - platzi_data_20240325.csv
[2024-05-10T06:27:48.888+0000] {subprocess.py:93} INFO - platzi_data_20240326.csv
[2024-05-10T06:27:48.889+0000] {subprocess.py:93} INFO - platzi_data_20240327.csv
[2024-05-10T06:27:48.889+0000] {subprocess.py:93} INFO - platzi_data_20240328.csv
[2024-05-10T06:27:48.890+0000] {subprocess.py:93} INFO - platzi_data_20240329.csv
[2024-05-10T06:27:48.891+0000] {subprocess.py:93} INFO - platzi_data_20240330.csv
[2024-05-10T06:27:48.892+0000] {subprocess.py:93} INFO - platzi_data_20240331.csv
[2024-05-10T06:27:48.892+0000] {subprocess.py:93} INFO - pymp-uyxtzsi7
[2024-05-10T06:27:48.893+0000] {subprocess.py:93} INFO - response_20231125.txt
[2024-05-10T06:27:48.894+0000] {subprocess.py:93} INFO - response_20231126.txt
[2024-05-10T06:27:48.894+0000] {subprocess.py:93} INFO - response_20231127.txt
[2024-05-10T06:27:48.895+0000] {subprocess.py:93} INFO - response_20240101.txt
[2024-05-10T06:27:48.895+0000] {subprocess.py:93} INFO - response_20240201.txt
[2024-05-10T06:27:48.896+0000] {subprocess.py:93} INFO - response_20240301.txt
[2024-05-10T06:27:48.896+0000] {subprocess.py:93} INFO - response_20240302.txt
[2024-05-10T06:27:48.897+0000] {subprocess.py:93} INFO - response_20240303.txt
[2024-05-10T06:27:48.897+0000] {subprocess.py:93} INFO - response_20240304.txt
[2024-05-10T06:27:48.898+0000] {subprocess.py:93} INFO - response_20240305.txt
[2024-05-10T06:27:48.898+0000] {subprocess.py:93} INFO - response_20240306.txt
[2024-05-10T06:27:48.899+0000] {subprocess.py:93} INFO - response_20240307.txt
[2024-05-10T06:27:48.899+0000] {subprocess.py:93} INFO - response_20240308.txt
[2024-05-10T06:27:48.900+0000] {subprocess.py:93} INFO - response_20240309.txt
[2024-05-10T06:27:48.900+0000] {subprocess.py:93} INFO - response_20240310.txt
[2024-05-10T06:27:48.901+0000] {subprocess.py:93} INFO - response_20240311.txt
[2024-05-10T06:27:48.901+0000] {subprocess.py:93} INFO - response_20240312.txt
[2024-05-10T06:27:48.902+0000] {subprocess.py:93} INFO - response_20240313.txt
[2024-05-10T06:27:48.902+0000] {subprocess.py:93} INFO - response_20240314.txt
[2024-05-10T06:27:48.902+0000] {subprocess.py:93} INFO - response_20240315.txt
[2024-05-10T06:27:48.903+0000] {subprocess.py:93} INFO - response_20240316.txt
[2024-05-10T06:27:48.903+0000] {subprocess.py:93} INFO - response_20240317.txt
[2024-05-10T06:27:48.904+0000] {subprocess.py:93} INFO - response_20240318.txt
[2024-05-10T06:27:48.904+0000] {subprocess.py:93} INFO - response_20240319.txt
[2024-05-10T06:27:48.905+0000] {subprocess.py:93} INFO - response_20240320.txt
[2024-05-10T06:27:48.905+0000] {subprocess.py:93} INFO - response_20240321.txt
[2024-05-10T06:27:48.906+0000] {subprocess.py:93} INFO - response_20240322.txt
[2024-05-10T06:27:48.906+0000] {subprocess.py:93} INFO - response_20240323.txt
[2024-05-10T06:27:48.908+0000] {subprocess.py:93} INFO - response_20240324.txt
[2024-05-10T06:27:48.908+0000] {subprocess.py:93} INFO - response_20240325.txt
[2024-05-10T06:27:48.909+0000] {subprocess.py:93} INFO - response_20240326.txt
[2024-05-10T06:27:48.911+0000] {subprocess.py:93} INFO - response_20240327.txt
[2024-05-10T06:27:48.912+0000] {subprocess.py:93} INFO - response_20240328.txt
[2024-05-10T06:27:48.913+0000] {subprocess.py:93} INFO - response_20240329.txt
[2024-05-10T06:27:48.914+0000] {subprocess.py:93} INFO - response_20240330.txt
[2024-05-10T06:27:48.914+0000] {subprocess.py:93} INFO - response_20240331.txt
[2024-05-10T06:27:48.915+0000] {subprocess.py:93} INFO - response_20240401.txt
[2024-05-10T06:27:48.915+0000] {subprocess.py:93} INFO - Confirmación, puede proceder
[2024-05-10T06:27:48.916+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2024-05-10T06:27:48.916+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-10T06:27:48.942+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=Proyecto_SpaceX_v1, task_id=Lectura_Datos_NASA, run_id=scheduled__2024-04-01T00:00:00+00:00, execution_date=20240401T000000, start_date=20240510T062748, end_date=20240510T062748
[2024-05-10T06:27:49.016+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-05-10T06:27:49.036+0000] {taskinstance.py:3498} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-05-10T06:27:49.047+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
